Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jake Rogers","DET",37,144,130,28,17,6,1,5,16,16,11,0,42,1,1,0,,1,0,0.213578,0.0775363,0.292438,0.265137,0.28099,0.380512,0.290747,0.661503,0.166934,3.73513,0.271806,-0.0988267,-0.133631,13.9692,-2.70135,85.6862,-0.232458,0.888535,-2.5914113223552704,3.7064362168312073,0.614254,475.260009765625,,,,,,,134.8,3.643243243,134.8,3.643243243,,,,,,,,,,,,,,,,,,,"Jake Rogers","19452",668670
"Hunter Goodman","COL",71,287,263,63,35,14,1,13,33,41,18,0,75,4,2,0,,1,0,0.24093,0.0615315,0.261929,0.234916,0.295179,0.449991,0.32211,0.745171,0.209061,3.175,0.284641,-0.491197,-0.339604,34.9649,1.82117,91.6678,-0.830802,-1.22497,-3.6242862343788147,0.175032377243042,0.611193,315.19000244140625,,,,,,,326.2,4.594366197,326.2,4.594366197,,,,,,,,,,,,,,,,,,,"Hunter Goodman","29715",696100
"Luis Rengifo","LAA",48,209,192,49,35,8,1,5,24,21,13,0,34,2,1,0,,8,2,0.252178,0.0619828,0.161408,0.384013,0.304565,0.379297,0.301508,0.683862,0.127118,5.61431,0.28187,0.16114,0.218332,22.071,-2.11877,90.2861,0.379472,0.0597485,-1.943477064371109,0.8599027916789055,0.610589,177.5500030517578,,,,,,,212.9,4.435416666,212.9,4.435416666,,,,,,,,,,,,,,,,,,,"Luis Rengifo","19858",650859
"Kameron Misner","TBR",50,218,194,42,26,10,1,6,25,21,21,0,75,2,1,0,,6,1,0.21618,0.0954543,0.344516,0.277068,0.295494,0.360571,0.291644,0.656065,0.14439,5.62771,0.317359,0.0930697,0.277394,21.242,-3.92134,89.1433,0.370463,1.1125,-2.330262303352356,0.9569449871778488,0.609588,999,,,,,,,209.9,4.198,209.9,4.198,,,,,,,,,,,,,,,,,,,"Kameron Misner","26374",670224
"Nolan Gorman","STL",58,250,224,49,28,10,0,12,30,34,24,1,81,1,2,0,,3,1,0.219965,0.094136,0.32374,0.290777,0.2962,0.419738,0.311846,0.715938,0.199773,3.60378,0.283561,-0.150109,-0.085158,28.4729,-0.46496,99.3744,-0.235267,0.0128461,-0.41839106380939484,-1.892709532752633,0.606419,384.6400146484375,,,,,,,270.1,4.656896551,270.1,4.656896551,,,,,,,,,,,,,,,,,,,"Nolan Gorman","22263",669357
"Drake Baldwin","ATL",46,186,165,40,27,8,0,5,20,21,18,0,40,2,1,0,,0,0,0.2402,0.0963188,0.213758,0.450597,0.319008,0.372572,0.307979,0.69158,0.132372,2.34228,0.287118,-0.340219,-0.244634,20.573,-0.92028,94.0411,-0.584853,-0.64516,-1.8804017305374146,1.6640989184379578,0.606304,999,,,,,,,189.2,4.113043478,189.2,4.113043478,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Ceddanne Rafaela","BOS",53,230,215,53,35,10,2,6,29,27,9,0,55,3,2,1,,9,3,0.247673,0.0405898,0.238524,0.170171,0.28576,0.396206,0.296845,0.681965,0.148533,6.79712,0.303295,0.442258,0.492704,23.3426,-3.17875,83.0411,0.934962,0.853607,-3.5114407539367676,1.6477423906326294,0.599231,188.11000061035156,,,,,,,223.3,4.213207547,223.3,4.213207547,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Zach McKinstry","DET",48,208,186,44,29,9,2,4,24,18,18,0,45,2,1,1,,7,1,0.23597,0.085953,0.218374,0.393605,0.306382,0.36731,0.298008,0.673692,0.13134,6.69382,0.290467,0.31511,0.446542,21.3478,-2.68725,90.768,0.761652,-0.251589,-1.4319438338279724,0.2351396083831787,0.594196,557.5800170898438,,,,,,,206,4.291666666,206,4.291666666,,,,,,,,,,,,,,,,,,,"Zach McKinstry","19392",656716
"Dylan Crews","WSN",50,214,194,46,31,8,2,6,26,23,15,0,49,3,1,0,,11,3,0.239011,0.0704772,0.22922,0.307466,0.302181,0.388822,0.304453,0.691003,0.14981,6.82937,0.288497,0.534243,0.853722,23.0808,-1.66321,93.2022,1.38796,0.953259,-0.31351912021636963,-1.0819262266159058,0.578875,123.19000244140625,,,,,,,221.1,4.422,221.1,4.422,,,,,,,,,,,,,,,,,,,"Dylan Crews","33541",686611
"Travis d'Arnaud","LAA",35,139,127,30,18,6,0,5,15,17,9,0,35,2,1,0,,0,0,0.234806,0.0660981,0.249173,0.26527,0.296428,0.407879,0.308591,0.704307,0.173073,2.61663,0.280968,-0.422437,-0.170842,15.4343,-0.619501,95.2427,-0.593279,0.142894,-1.3482848405838013,2.20230695605278,0.568692,417.82000732421875,,,,,,,138.4,3.954285714,138.4,3.954285714,,,,,,,,,,,,,,,,,,,"Travis d'Arnaud","7739",518595
