Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Sam Long","KCR",2.28386,2.43556,0,4.25807,47.1358,0.263937,0.321649,8.59102,0.612852,51.4571,221.902,49.2283,26.4623,24.3453,6.28414,21.0729,1.52346,1.86046,46.2521,8.08963,3.68571,2.19486,1.09911,0.208435,0.0949649,0.11347014456987381,0.247418,1.36621,0.29327,0.712788,,,4.29343,-0.0328634,0.0574636,999,1.4346,0.81257,0.612259,1.4346,-0.81257,4.18365,235.20000000000002,4.611764705882353,236,4.627450980392157,,,,,,,,,,,,,,,,,,,"Sam Long","25379",669674
"Xzavion Curry",,1.23278,1.5494,0.18728,4.75781,20.8999,1.51556,0,1.894,0,29.3289,125.606,30.1275,16.8528,15.5046,4.80878,9.00341,0.425987,1.12836,21.4032,6.56788,2.76283,2.37723,1.47564,0.170399,0.0716796,0.09871934354305267,0.260902,1.33421,0.283643,0.687625,,,4.8748,-0.0337345,-0.0390341,999,1.67137,-2.94697,0.966725,1.67137,2.94697,3.71103,95.10000000000002,3.279310344827587,100,3.4482758620689653,,,,,,,,,,,,,,,,,,,"Xzavion Curry","25595",675540
"Dakota Hudson","LAA",0.41556,1.04393,0.0586358,4.954,10.3404,0.423012,0,1.36946,0,12.6971,56.1999,13.6097,7.59681,6.98907,1.46968,4.99612,0.151199,0.619283,8.82991,6.25883,3.54136,1.76735,1.04174,0.157116,0.0888992,0.0682169497013092,0.269049,1.46536,0.301355,0.665267,,,4.60715,-0.0340431,-0.11881,999,3.03661,-3.58433,1.21546,3.03661,3.58433,3.37939,51.50000000000001,3.961538461538462,56,4.3076923076923075,,,,,,,,,,,,,,,,,,,"Dakota Hudson","19206",641712
"J.B. Wendelken","SDP",0.439264,0.416198,0,4.36008,10.9223,0,0,0.504746,0,11.2716,48.7836,10.6652,5.93538,5.46055,1.57001,4.7622,0.215831,0.555959,10.048,8.02299,3.80247,2.10995,1.2536,0.20597,0.0976187,0.10835137963294983,0.245372,1.3687,0.285587,0.717495,,,4.60981,-0.0342032,-0.027905,999,1.26964,-1.18381,1.28147,1.26964,1.18381,3.29137,34.2,3.1090909090909093,35,3.1818181818181817,,,,,,,,,,,,,,,,,,,"J.B. Wendelken","14506",605525
"Mick Abel","PHI",0.74325,0.742084,0,4.6154,13.9055,0,0,0.795022,0,14.9326,65.7969,14.135,8.32366,7.65777,1.96589,7.37035,0.10683,0.837678,14.0209,8.4505,4.44217,1.90234,1.18486,0.213093,0.112017,0.10107668489217758,0.245447,1.44016,0.292512,0.702907,,,4.64907,-0.034329,-0.00974989,999,1.194,-1.18642,1.1561,1.194,1.18642,3.45853,58.00000000000001,3.866666666666667,57,3.8,,,,,,,,,,,,,,,,,,,"Mick Abel","27756",690953
"Yoendrys Gómez","CHW",1.72677,1.33723,0.769288,4.4836,29.1337,1.08475,0,2.96959,0,41.6407,179.797,36.6831,22.5483,20.7444,5.58433,18.3437,0.555441,3.5958,40.9646,8.85387,3.96472,2.23316,1.20697,0.227838,0.102025,0.12581313401460648,0.232381,1.32147,0.279393,0.687977,,,4.52298,-0.0345113,-0.0518118,999,1.8439,0.0822042,0.740826,1.8439,-0.0822042,4.01223,168.8,4.019047619047619,160,3.8095238095238093,,,,,,,,,,,,,,,,,,,"Yoendrys Gomez","22872",672782
"Joe Jacques","SEA",0.313157,0.643322,0,4.31718,9.10131,0.0537221,0.0506886,0.807774,0,9.65408,42.8188,9.87873,5.03363,4.63094,1.05751,3.8417,0.204561,1.00505,7.49603,6.98816,3.58142,1.95123,0.985866,0.175064,0.0897198,0.08534392714500427,0.260158,1.42121,0.299852,0.709711,,,4.54371,-0.0349077,0.0213759,999,1.21509,-1.48484,1.31426,1.21509,1.48484,3.24766,38.7,3.87,40,4,,,,,,,,,,,,,,,,,,,"Joe Jacques","25178",682175
"Connor Phillips","CIN",0.848945,1.21192,0.257495,4.75867,15.7637,0.364227,0,1.00563,0,18.4666,82.6943,17.7228,10.6131,9.76403,2.73977,10.1692,0.118787,1.06454,19.3845,9.44735,4.95612,1.9062,1.33527,0.234411,0.122973,0.11143806576728821,0.248008,1.5104,0.303692,0.718269,,,4.82078,-0.0359365,-0.0904076,749.97998046875,5.80059,-1.87432,1.03032,5.80059,1.87432,3.62625,58.500000000000014,3.250000000000001,60,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Connor Phillips","27649",683175
"Sean Newcomb","ATH",2.12774,2.22782,1.06037,4.81812,28.0643,2.04245,0,0.731172,0,40.0704,181.142,38.0797,23.317,21.4516,5.06591,23.8899,1.3341,2.56785,37.9738,8.52909,5.36578,1.58953,1.13783,0.209635,0.131885,0.07775053381919861,0.246176,1.54652,0.295704,0.704347,,,4.8955,-0.0362827,-0.00631245,713.280029296875,2.00393,-0.339155,0.564235,2.00393,0.339155,4.24769,134.7,3.3674999999999997,134,3.35,,,,,,,,,,,,,,,,,,,"Sean Newcomb","16943",656794
"Ryder Ryan","PIT",0.41056,0.278096,0,5.1225,5.75007,0,0,0.448053,0.266317,7.1202,31.578,7.30571,4.40497,4.05258,0.985696,2.99217,0.0862427,0.560319,5.56776,7.03771,3.78213,1.86078,1.24593,0.176318,0.0947549,0.08156303316354752,0.260681,1.44629,0.294337,0.660794,,,4.89901,-0.0365517,-0.023504,999,1.30059,0.513859,1.31008,1.30059,-0.513859,3.25322,21.3,3.042857142857143,22,3.142857142857143,,,,,,,,,,,,,,,,,,,"Ryder Ryan","19891",656924
