Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Garrett Stubbs","PHI",3,13,12,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.216733,0.0941197,0.256367,0.367128,0.296911,0.300924,0.272094,0.597835,0.084191,4.22487,0.293007,-0.00350264,-0.0105537,1.10261,-0.443557,69.8805,-0.0140564,-0.0326294,-0.4894673889502883,0.22894466668367386,0.0190249,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Bryan De La Cruz","NYY",5,20,18,4,3,1,0,1,2,2,1,0,5,0,0,0,,0,0,0.24199,0.059932,0.258935,0.231456,0.288228,0.405581,0.303443,0.693809,0.163591,2.70239,0.295695,-0.0337881,-0.0263775,2.11382,-0.160952,94.6637,-0.0601657,-0.084493,-0.17899258434772491,-0.2956041544675827,0.0188696,490.9100036621094,,,,,,,19.7,3.94,19.7,3.94,,,,,,,,,,,,,,,,,,,"Bryan De La Cruz","19600",650559
"Matthew Lugo","LAA",32,138,128,28,18,6,0,4,15,15,9,0,40,1,0,0,,4,1,0.2205,0.0621066,0.292279,0.212491,0.272984,0.366799,0.282008,0.639782,0.146299,5.30781,0.287019,0.00358152,0.362604,12.4438,-3.47966,77.8039,0.366186,-1.10876,-3.093606799840927,-1.3198720663785934,0.0186222,742.4299926757812,,,,,,,118.6,3.70625,118.6,3.70625,,,,,,,,,,,,,,,,,,,"Matthew Lugo","25980",683090
"Darren Baker","WSN",3,15,14,3,3,1,0,0,1,1,1,0,3,0,0,0,,1,0,0.237516,0.0616315,0.215154,0.286453,0.285139,0.294533,0.260978,0.579671,0.0570161,5.3902,0.306248,0.0136333,0.0727641,1.07639,-0.61473,63.3287,0.0863974,0.254826,-0.5466928258538246,0.23738735169172287,0.0182759,999,,,,,,,10.6,3.533333333,10.6,3.533333333,,,,,,,,,,,,,,,,,,,"Darren Baker","29912",671117
"Mason McCoy","SDP",1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,,0,0,0.202689,0.0731218,0.319659,0.228749,0.263682,0.269652,0.242587,0.533334,0.066963,4.2652,0.301655,0.00384498,-0.0049982,0.29241,-0.281272,54.2267,-0.00115322,0.226053,-0.269224543008022,0.2792942188680172,0.0181562,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Mason McCoy","22232",669200
"Jeferson Quero","MIL",2,9,8,2,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.233599,0.0681515,0.2193,0.310769,0.287429,0.333788,0.277489,0.621216,0.100189,2.93467,0.284345,-0.00598594,-0.0150844,0.766568,-0.255085,73.742,-0.0210704,0.00342074,-0.2949325516819954,0.1762602450326085,0.0181307,745.1900024414062,,,,,,,6.2,3.1,6.2,3.1,,,,,,,,,,,,,,,,,,,"Jeferson Quero","sa3015407",691620
"Trey Lipscomb","WSN",3,15,14,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.238636,0.0568197,0.208198,0.272912,0.283879,0.319756,0.268931,0.603635,0.0811194,4.58826,0.296598,-0.000553623,0.0060948,1.1691,-0.522014,68.6993,0.00554117,0.164992,-0.5348325106315315,0.21730710566043854,0.0174212,750.1599731445312,,,,,,,8.7,2.9,8.7,2.9,,,,,,,,,,,,,,,,,,,"Trey Lipscomb","31567",702358
"Sean Bouchard","COL",19,83,73,17,10,4,1,2,10,9,8,0,24,1,1,0,,2,0,0.234139,0.0995638,0.290681,0.342519,0.316834,0.40084,0.316856,0.717674,0.166701,5.82648,0.31253,-0.0821108,0.0193944,9.79104,0.208058,87.5761,-0.0627164,0.0355679,-1.2781323567032814,-1.3071789853274822,0.0169984,630.52001953125,,,,,,,89.1,4.689473684,89.1,4.689473684,,,,,,,,,,,,,,,,,,,"Sean Bouchard","21270",656248
"Samad Taylor","SEA",3,15,13,3,2,1,0,0,2,1,1,0,4,0,0,0,,1,0,0.220194,0.0813446,0.275614,0.29514,0.290161,0.310086,0.271404,0.600247,0.0898922,5.97493,0.299795,0.037326,0.0592104,1.20854,-0.497542,78.481,0.0965365,0.00543543,-0.2628468796610832,-0.0825275331735611,0.0152515,999,,,,,,,11.6,3.866666666,11.6,3.866666666,,,,,,,,,,,,,,,,,,,"Samad Taylor","22274",669392
"Joey Wiemer","KCR",12,53,47,10,7,2,0,1,5,5,5,0,15,1,0,0,,1,0,0.208023,0.0903324,0.288593,0.31301,0.286729,0.320375,0.274208,0.607104,0.112352,4.58341,0.281821,0.00920548,0.0535019,4.43242,-1.65858,69.6158,0.0627074,0.424042,-1.7489413693547249,0.13283854722976685,0.0146234,749.469970703125,,,,,,,44.1,3.675,44.1,3.675,,,,,,,,,,,,,,,,,,,"Joey Wiemer","27690",686894
"Akil Baddoo","DET",15,63,55,11,7,2,0,2,8,5,7,0,18,0,0,0,,2,1,0.200329,0.109557,0.285444,0.383812,0.286662,0.336257,0.279361,0.622919,0.135928,5.81268,0.261605,0,0.0754314,5.54352,-1.7198,78.8997,0.0754314,0,-1.424812227487564,-0.5358024835586548,0.0139582,999,,,,,,,53.2,3.546666666,53.2,3.546666666,,,,,,,,,,,,,,,,,,,"Akil Baddoo","22168",668731
"Drew Avans","ATH",3,15,13,3,2,1,0,0,2,1,1,0,4,0,0,0,,1,0,0.217204,0.0866737,0.266357,0.325404,0.28709,0.302614,0.267259,0.589704,0.08541,6.03844,0.29695,0.0110669,0.0811312,1.13943,-0.536717,69.4446,0.0921981,0.00657614,-0.4091480076313019,0.0584279908798635,0.0137981,999,,,,,,,11.6,3.866666666,11.6,3.866666666,,,,,,,,,,,,,,,,,,,"Drew Avans","sa3006937",682183
"Nacho Alvarez Jr.","ATL",1,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.252399,0.0908365,0.210067,0.432417,0.328905,0.322027,0.295965,0.650932,0.0696283,3.8444,0.318047,-0.000766232,-0.00311137,0.499137,-0.0695566,85.3967,-0.0038776,0.00424793,-0.08865807275287807,0.05702570639550686,0.0136716,742.6799926757812,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
