Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jacob Wallace","KCR",0,0,0,4.64515,4,0,0,0,,4,19,4,2,2,0,2,,0,4,8.30407,5.2675,1.57647,1.01491,0.205604,0.13042,0.07518362998962402,0.246666,1.53811,0.297116,0.707923,,,4.56571,-0.00516097,-0.00121804,999,,,,,,,21.200000000000003,5.300000000000001,22,5.5,,,,,,,,,,,,,,,,,,,"Jacob Wallace","sa3010374",686608
"Bobby Miller","LAD",0,0,0,4.43747,8,0,0,0,,8,35,8,4,4,1,3,,0,8,8.54681,3.62182,2.35981,1.25851,0.2204,0.0933974,0.12700261175632477,0.245484,1.35017,0.291534,0.705339,,,4.33323,-0.00522949,-0.00709881,509.9700012207031,,,,,,,33.10000000000001,4.137500000000001,34,4.25,,,,,,,,,,,,,,,,,,,"Bobby Miller","27483",676272
"Juan Mejia","COL",1,2,0,4.78645,28,0,0,3,,28,126,29,16,15,3,13,,2,26,8.35121,4.27861,1.95185,1.108,0.206722,0.105911,0.10081109404563904,0.262201,1.50956,0.314901,0.696594,,,4.4489,-0.00547664,-0.0202071,999,,,,,,,113.90000000000003,4.067857142857144,120,4.285714285714286,,,,,,,,,,,,,,,,,,,"Juan Mejia","23237",675848
"Kade Strowd","BAL",1,1,0,4.25207,15,0,0,0,,15,64,14,8,7,2,7,,1,14,8.53591,4.05861,2.10316,1.0949,0.216335,0.102862,0.11347290873527527,0.253061,1.43686,0.30584,0.729012,,,4.21993,-0.00556591,-0.0365969,999,,,,,,,54.00000000000001,3.6000000000000005,53,3.533333333333333,,,,,,,,,,,,,,,,,,,"Kade Strowd","26191",669704
"Max Kranick","NYM",1,1,0,4.32985,16,0,0,0,,16,66,15,8,7,2,5,,1,12,7.2111,2.83943,2.53963,1.29826,0.188243,0.0741221,0.11412082612514496,0.253091,1.30155,0.285303,0.708096,,,4.4244,-0.00571142,-0.0190794,749.6300048828125,,,,,,,60.80000000000001,3.8000000000000007,60,3.75,,,,,,,,,,,,,,,,,,,"Max Kranick","22175",668820
"Ethan Roberts","CHC",1,1,0,4.27242,23,0,0,0,,23,99,22,12,11,3,9,,1,23,8.79548,3.45777,2.54368,1.24461,0.227229,0.0893308,0.13789860904216766,0.246168,1.33447,0.295836,0.717419,,,4.23555,-0.00593933,-0.0395147,999,,,,,,,92.10000000000001,4.004347826086957,92,4,,,,,,,,,,,,,,,,,,,"Ethan Roberts","24930",681799
"Michael Darrell-Hicks","PIT",1,1,0,4.7058,16,0,0,0,,16,72,17,9,9,2,6,,1,14,7.76637,3.1093,2.49778,1.17632,0.197776,0.0791806,0.11859536916017532,0.263114,1.38453,0.30735,0.679288,,,4.28627,-0.00599117,-0.0334787,999,,,,,,,56.60000000000001,3.5375000000000005,61,3.8125,,,,,,,,,,,,,,,,,,,"Michael Darrell-Hicks","31501",690382
"Easton Lucas","TOR",1,1,0,4.59185,17,0,0,0,,17,73,16,9,9,2,7,,1,15,8.27868,3.89059,2.12787,1.21229,0.211422,0.0993585,0.11206384003162384,0.249416,1.39927,0.294882,0.6977,,,4.40345,-0.00640463,-0.0357145,999,,,,,,,65.60000000000002,3.858823529411766,65,3.823529411764706,,,,,,,,,,,,,,,,,,,"Easton Lucas","26058",687922
"Eric Cerantola","KCR",0,0,0,4.62043,6,0,0,0,,6,28,6,3,3,1,4,,0,6,8.45738,5.10868,1.65549,0.995796,0.209099,0.126306,0.082792729139328,0.245041,1.51215,0.297369,0.702986,,,4.54831,-0.00738375,-0.00182706,999,,,,,,,16.500000000000007,2.7500000000000013,17,2.8333333333333335,,,,,,,,,,,,,,,,,,,"Eric Cerantola","sa3017914",672021
"Shaun Anderson","LAA",0,0,0,6,9,0,0,0,,9,42,10,6,6,1,3,,0,7,7.5,3,2.5,1.5,0.178571,0.0714286,0.1071428433060646,0.269231,1.5,0.3,0.657895,,,4.57065,-0.00741219,-0.0519555,999,,,,,,,33.30000000000001,3.700000000000001,37,4.111111111111111,,,,,,,,,,,,,,,,,,,"Shaun Anderson","19453",641312
"Tom Cosgrove","CHC",1,1,0,4.35285,20,0,0,0,,20,87,18,10,10,2,9,,2,19,8.6124,4.0658,2.11825,1.06157,0.219098,0.103433,0.11566492170095444,0.240022,1.37081,0.29087,0.700937,,,4.30577,-0.00743128,-0.0205669,999,,,,,,,81.60000000000001,4.08,79,3.95,,,,,,,,,,,,,,,,,,,"Tom Cosgrove","23443",676680
"Scott Alexander","SFG",1,1,0,4.31487,11,0,0,0,,11,50,12,6,5,1,4,,0,8,6.47437,3.22937,2.00484,0.864531,0.164337,0.0819699,0.08236658573150635,0.267974,1.42409,0.306727,0.700189,,,4.08721,-0.007503,-0.0259945,999,,,,,,,41.900000000000006,3.8090909090909095,46,4.181818181818182,,,,,,,,,,,,,,,,,,,"Scott Alexander","10591",518397
"J.P. France","HOU",1,1,0,4.3747,12,0,0,0,,12,54,12,7,6,2,5,,0,11,7.98936,3.48541,2.29223,1.2685,0.206224,0.0899664,0.1162571981549263,0.252171,1.36853,0.29355,0.717367,,,4.36746,-0.0076749,-0.0459945,999,,,,,,,40.000000000000014,3.3333333333333344,41,3.4166666666666665,,,,,,,,,,,,,,,,,,,"J.P. France","21212",641585
"Génesis Cabrera","CHC",0,0,0,4.32317,7,0,0,0,,7,32,7,4,4,1,3,,0,7,8.14096,4.07448,1.99804,1.2125,0.207358,0.103781,0.10357701033353806,0.246386,1.40411,0.289382,0.725619,,,4.51559,-0.00781037,-0.0229988,999,,,,,,,26.300000000000015,3.7571428571428593,27,3.857142857142857,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Brett de Geus","PHI",1,1,0,4.77452,11,0,0,0,,11,51,12,7,6,1,5,,1,8,6.36733,3.61702,1.76038,0.905934,0.157641,0.0895494,0.06809166073799133,0.271793,1.48801,0.309117,0.676553,,,4.43969,-0.00783852,-0.0514803,999,,,,,,,35.900000000000006,3.263636363636364,40,3.6363636363636362,,,,,,,,,,,,,,,,,,,"Brett de Geus","23592",676969
"Nate Lavender","TBR",0,0,0,4.20564,10,0,0,0,,10,43,9,5,5,1,5,,1,10,8.96555,4.45555,2.01222,1.07968,0.22733,0.112974,0.11435509473085403,0.240981,1.41896,0.295807,0.728237,,,4.28234,-0.0079234,-0.0160461,999,,,,,,,40.300000000000004,4.03,39,3.9,,,,,,,,,,,,,,,,,,,"Nate Lavender","sa3017917",681320
"Jared Shuster","CHW",1,1,0,4.63316,17,0,0,0,,17,72,17,9,9,2,7,,0,13,6.94871,3.55012,1.95732,1.23729,0.177737,0.0908062,0.08693032711744308,0.258138,1.40702,0.290437,0.697756,,,4.57786,-0.00794934,-0.0305781,999,,,,,,,62.000000000000014,3.6470588235294126,64,3.764705882352941,,,,,,,,,,,,,,,,,,,"Jared Shuster","27472",694363
"Gus Varland","CHW",0,1,0,4.57363,12,0,0,0,,12,52,12,7,6,2,5,,1,11,8.15355,3.57797,2.27882,1.27163,0.207501,0.0910564,0.11644482612609863,0.257114,1.40471,0.301704,0.706221,,,4.44207,-0.00795377,-0.0416049,749.72998046875,,,,,,,37.000000000000014,3.0833333333333344,38,3.1666666666666665,,,,,,,,,,,,,,,,,,,"Gus Varland","24737",681402
"Blas Castaño","SEA",1,1,0,4.1549,11,0,0,0,,11,48,11,6,5,1,4,,1,9,6.9719,2.94315,2.36886,1.06864,0.180182,0.076063,0.10411932319402695,0.255913,1.32785,0.292333,0.711122,,,4.23028,-0.00807113,-0.0385536,999,,,,,,,43.50000000000001,3.954545454545455,45,4.090909090909091,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
"Devin Sweet","PHI",1,0,0,4.65055,8,0,0,0,,8,36,8,5,4,1,3,,1,8,8.98309,3.75862,2.39,1.4317,0.229821,0.0961595,0.1336614266037941,0.246611,1.37017,0.293296,0.704608,,,4.5839,-0.00830981,-0.0346923,999,,,,,,,30.100000000000005,3.7625000000000006,31,3.875,,,,,,,,,,,,,,,,,,,"Devin Sweet","25348",682967
"Hunter Bigge","TBR",0,1,0,4.39613,13,0,0,0,,13,58,12,7,7,2,6,,1,14,9.57523,3.88664,2.46363,1.37481,0.248444,0.100845,0.1475990116596222,0.235641,1.32896,0.287347,0.715654,,,4.35427,-0.00847968,-0.0370801,685.6300048828125,,,,,,,47.39999999999999,3.6461538461538456,46,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Hunter Bigge","26259",685801
"Angel Chivilli","COL",1,2,0,4.79609,24,0,0,0,,24,105,25,14,13,3,9,,1,20,7.71101,3.557,2.16784,1.2359,0.195134,0.0900134,0.10512097924947739,0.262938,1.43333,0.304937,0.688185,,,4.47008,-0.00907246,-0.0251178,750.6599731445312,,,,,,,85.70000000000002,3.570833333333334,91,3.7916666666666665,,,,,,,,,,,,,,,,,,,"Angel Chivilli","26790",683409
"Josh Simpson","MIA",2,2,0,4.21531,29,0,0,4,,29,127,26,15,13,3,15,,1,28,8.80258,4.85792,1.81201,0.96325,0.221396,0.122183,0.09921327978372574,0.240596,1.46172,0.296674,0.726151,,,4.26316,-0.00907336,-0.0210296,999,,,,,,,134.10000000000002,4.6241379310344835,130,4.482758620689655,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
