name,position,eligible_positions,team,player_id,fangraphs_id,mlbamid,is_free_agent,r,hr,tb,sbn,avg,ops,h,ab,pa,g,avg_diff,ops_diff,r_z,hr_z,tb_z,sbn_z,avg_z,ops_z,current_pr,xwoba,xwoba_percentile,proj_g,proj_pa,proj_ab,proj_h,proj_2b,proj_3b,proj_hr,proj_r,proj_rbi,proj_bb,proj_so,proj_sb,proj_cs,proj_avg,proj_woba,proj_ops,proj_wrc+,proj_war,proj_tb,proj_sbn,proj_avg_diff,proj_ops_diff,proj_r_z,proj_hr_z,proj_tb_z,proj_sbn_z,proj_avg_z,proj_ops_z,proj_pr,blended_ab,blended_g,blended_avg,blended_ops,blended_r,blended_hr,blended_tb,blended_sbn,blended_avg_diff,blended_ops_diff,blended_r_z,blended_hr_z,blended_tb_z,blended_sbn_z,blended_avg_z,blended_ops_z,blended_pr
Corbin Carroll,OF,OF,Corb Your Enthusiasm: S2,42404,25878,682998,0,47.0,18.0,141.0,6.0,0.26229508,0.91366221,64.0,244.0,271.0,59.0,4.235905669279531,49.15729006620545,2.678728170809029,3.3946147990552253,2.6311814440738446,1.2122908613485306,0.7516294368293662,2.8475596146379,13.516004326753897,0.402,93.0,98.0,423.0,369.0,97.0,18.0,7.0,16.0,71.0,52.0,42.0,86.0,23.0,4.0,0.263364,0.360059,0.828806,128.953,3.21813,177.0,19.0,5.6618786,36.924313,2.515411,1.7183293,1.8764998,4.0239916,1.4140172,2.6374876,14.185736,369.0,98.0,0.2628811974520646,0.8671327122314965,60.16,16.903333333333332,160.74,13.128333333333334,5.221645402872012,50.71192799086674,2.357503366642675,2.1493031416961506,1.9064784622301725,2.736582902085531,0.995925663081923,2.9198486881253993,13.88324036446271
Mookie Betts,SS,"SS,OF",Corb Your Enthusiasm: S2,33039,13611,605141,0,43.0,8.0,85.0,5.0,0.25714286,0.74367404,54.0,210.0,239.0,54.0,2.5636903186422106,6.6099880455046875,2.338043316185605,0.9873932642687173,1.0498347452405514,0.9120646025568282,0.4549074650979396,0.3829001758695079,6.12514356921915,0.342,62.0,94.0,406.0,351.0,98.0,20.0,2.0,17.0,64.0,57.0,48.0,51.0,9.0,2.0,0.280291,0.375011,0.861787,142.483,3.76614,173.0,7.0,11.327068,46.69947,2.144725,1.8904994,1.8058765,1.0222188,2.8288615,3.3357227,13.027904,351.0,94.0,0.2710703188591783,0.8147386836646757,55.635000000000005,13.415,137.94666666666666,6.203333333333333,7.841312606872724,29.84787137899233,2.0592173084911134,1.4454361091913577,1.4066027474145821,0.8555786157917037,1.495575408689577,1.7185556050044561,10.27830416176124
Ketel Marte,2B,"2B,DH",Corb Your Enthusiasm: S2,32512,13613,606466,0,27.0,10.0,71.0,1.0,0.29411765,1.01330532,35.0,119.0,144.0,35.0,5.85275785723059,35.831782212452644,0.9753038976919084,1.468837571226019,0.6544980705322282,-0.2888404326099811,1.0385276338972638,2.07564607022197,5.923972810959409,0.453,99.0,91.0,392.0,342.0,95.0,20.0,2.0,18.0,58.0,56.0,44.0,68.0,4.0,1.0,0.278632,0.373609,0.864611,138.176,3.04838,173.0,3.0,10.469251,46.467857,1.8269945,2.0626693,1.8058765,0.021627802,2.6146271,3.3191786,11.650974,342.0,91.0,0.2823485447425232,0.9002976593149536,50.559999999999995,16.08,148.51999999999998,2.5200000000000005,11.49740656136455,58.34371101602861,1.7246754863653277,1.9831730346453298,1.6384842577092662,-0.14490741855471204,2.192903073627213,3.3592650648423303,10.276493922628305
Corey Seager,SS,SS,Corb Your Enthusiasm: S2,32691,13624,608369,0,15.0,6.0,54.0,0.0,0.26666667,0.75708661,32.0,120.0,127.0,31.0,2.60782309636698,5.386644426002674,-0.0467506661783641,0.5059489573114158,0.17444639410069288,-0.5890666914016834,0.4627384928537173,0.3120349210715477,0.8193514077573261,0.382,,80.0,345.0,305.0,86.0,16.0,1.0,19.0,48.0,52.0,34.0,58.0,1.0,0.0,0.283038,0.376505,0.880217,145.659,2.9206,161.0,1.0,10.680444,46.200462,1.2974434,2.2348392,1.5940067,-0.47866768,2.6673713,3.3000789,10.615072,305.0,80.0,0.27957272752811724,0.8541544131942665,41.015,16.248333333333335,138.35166666666666,0.7883333333333333,9.406910840881586,37.95798203812823,1.0954731824854034,2.0171389067346683,1.415484715731355,-0.6152716672813756,1.7941823302678905,2.1855127274568824,8.541644672013996
Christian Yelich,OF,"OF,DH",Corb Your Enthusiasm: S2,31283,11477,592885,0,33.0,13.0,98.0,8.0,0.23684211,0.74623081,54.0,228.0,256.0,60.0,-1.8451357969027375,7.759502009405086,1.4863311796270446,2.191004031661971,1.4169330860411373,1.8127433789319352,-0.3274053976125477,0.4494886622497901,7.02909494089933,0.335,54.0,84.0,363.0,312.0,80.0,14.0,2.0,11.0,49.0,43.0,46.0,80.0,15.0,3.0,0.257704,0.340347,0.771204,116.805,1.48116,131.0,12.0,3.0213604,13.248736,1.3503985,0.85747945,1.064332,2.2729576,0.754565,0.94635195,7.246085,312.0,84.0,0.24880292105333351,0.7605487692572266,42.17333333333333,11.853333333333332,116.91999999999999,10.293333333333333,0.0226275351299543,9.624187930646832,1.1718300187341457,1.1303269790160155,0.9454714211412941,1.966525551667769,0.0043157551287981676,0.5541333886700679,7.153502670490909
Zach Neto,SS,SS,Corb Your Enthusiasm: S2,4666100,31347,687263,0,34.0,10.0,91.0,6.0,0.27906977,0.84600966,48.0,172.0,183.0,43.0,5.871212971459339,23.015621610603834,1.5715023932829006,1.468837571226019,1.2192647486869757,1.2122908613485306,1.0418023543932788,1.3332377459350424,7.846935674872747,0.368,82.0,94.0,405.0,364.0,91.0,20.0,1.0,16.0,53.0,50.0,26.0,93.0,18.0,5.0,0.248806,0.331443,0.75677,112.18,2.603,161.0,13.0,0.2860521,10.20289,1.562219,1.7183293,1.5940067,2.5231051,0.071439564,0.72878855,8.197888,364.0,94.0,0.25803644968032224,0.7839881065602006,47.205,14.170000000000002,139.65,10.865,3.387403211208844,19.760138030703835,1.5035153261225676,1.5977780899484872,1.443958186178953,2.1218046058672355,0.6460802159015727,1.1377325886035847,8.090847800994574
Spencer Torkelson,1B,1B,Corb Your Enthusiasm: S2,4424286,27465,679529,0,35.0,14.0,105.0,1.0,0.23557692,0.84893725,49.0,208.0,247.0,59.0,-1.9464412996305676,28.44178345840463,1.6566736069387566,2.431726185140622,1.6146014233952988,-0.2888404326099811,-0.34538129318436434,1.6475618130159686,6.716341302696301,0.373,84.0,82.0,354.0,311.0,72.0,16.0,1.0,15.0,44.0,45.0,37.0,94.0,1.0,0.0,0.230988,0.328238,0.747886,112.872,0.882449,135.0,1.0,-5.2969975,5.9543767,1.085623,1.5461594,1.1349553,-0.47866768,-1.3228908,0.4253191,2.3904986,311.0,82.0,0.23287710296604197,0.7894854324641737,40.295,14.588333333333335,122.65,1.0,-4.9303744141687735,18.592643431819408,1.0480110914646026,1.6821883265269408,1.0711348247341579,-0.5577776734524187,-0.9403714784945802,1.0705115676721753,4.171303868390037
Isaac Paredes,3B,3B,Corb Your Enthusiasm: S2,39706,20036,670623,0,31.0,12.0,101.0,-1.0,0.25225225,0.8026112,56.0,222.0,256.0,59.0,1.624471488278917,20.071751168104942,1.3159887523153326,1.9502818781833204,1.5016480877643494,-0.8892929501933858,0.28825018430783883,1.162706649296152,5.329582601673607,0.332,50.0,90.0,388.0,333.0,80.0,15.0,1.0,14.0,47.0,50.0,44.0,64.0,1.0,0.0,0.241853,0.339022,0.763954,120.81,2.22167,139.0,1.0,-2.0536587,11.726225,1.2444884,1.3739893,1.2055786,-0.47866768,-0.51288795,0.83759964,3.6701002,333.0,90.0,0.24629001260721844,0.7804477293693338,40.17333333333333,13.146666666666665,122.78666666666666,0.14666666666666656,-0.8126479702541555,16.898323527925925,1.0399908770096984,1.3912924913063733,1.074132032149694,-0.7895644832195522,-0.15499653963143412,0.9729574429396444,4.3781460316497816
Ivan Herrera,C,"C,DH",Corb Your Enthusiasm: S2,41889,20599,671056,0,17.0,5.0,53.0,1.0,0.32631579,0.96860902,31.0,95.0,112.0,29.0,7.731193017957192,24.35905578725212,0.12359176113334798,0.2652268038327649,0.14620806019295549,-0.2888404326099811,1.3718417518713684,1.4110595481783261,3.029087492598782,0.38,,67.0,276.0,240.0,64.0,12.0,1.0,8.0,35.0,32.0,30.0,58.0,4.0,1.0,0.267478,0.344668,0.779157,121.597,1.64026,102.0,3.0,4.6698833,12.100053,0.60902697,0.34096953,0.55231327,0.021627802,1.1662728,0.864302,3.5545123,240.0,67.0,0.27846104534671223,0.8145213631576192,31.64,7.44,92.85333333333334,2.6266666666666665,7.135355626664703,20.356644021207188,0.47747720565205687,0.23981579790149532,0.41767050552729046,-0.11593406733382053,1.3609280668317256,1.172077708239814,3.4564329719918527
Gleyber Torres,2B,2B,Corb Your Enthusiasm: S2,33804,16997,650402,0,27.0,5.0,70.0,3.0,0.2716763,0.79218409,47.0,173.0,209.0,49.0,4.626277620595728,13.837609754153856,0.9753038976919084,0.2652268038327649,0.6262597366244909,0.3116120849734235,0.8208979883105136,0.8015783344846547,3.800878845917756,0.414,97.0,92.0,398.0,354.0,92.0,17.0,1.0,11.0,49.0,43.0,38.0,68.0,5.0,2.0,0.260965,0.32708,0.738754,112.057,1.79455,144.0,3.0,4.582476,3.5449128,1.3503985,0.85747945,1.2938577,0.021627802,1.1444434,0.25321218,4.921019,354.0,92.0,0.26469609609651434,0.75736546469191,41.336666666666666,8.91,118.22333333333333,3.0,5.651857514760385,9.792861874419533,1.116677311112752,0.5364286610974949,0.9740545455187286,-0.014527338060699588,1.077980120966528,0.5638451549735372,4.530836896702519
