name,position,eligible_positions,team,player_id,fangraphs_id,mlbamid,is_free_agent,r,hr,tb,sbn,avg,ops,h,ab,pa,g,avg_diff,ops_diff,r_z,hr_z,tb_z,sbn_z,avg_z,ops_z,current_pr,xwoba,xwoba_percentile,proj_g,proj_pa,proj_ab,proj_h,proj_2b,proj_3b,proj_hr,proj_r,proj_rbi,proj_bb,proj_so,proj_sb,proj_cs,proj_avg,proj_woba,proj_ops,proj_wrc+,proj_war,proj_tb,proj_sbn,proj_avg_diff,proj_ops_diff,proj_r_z,proj_hr_z,proj_tb_z,proj_sbn_z,proj_avg_z,proj_ops_z,proj_pr,blended_ab,blended_g,blended_avg,blended_ops,blended_r,blended_hr,blended_tb,blended_sbn,blended_avg_diff,blended_ops_diff,blended_r_z,blended_hr_z,blended_tb_z,blended_sbn_z,blended_avg_z,blended_ops_z,blended_pr
Fernando Tatis Jr.,OF,OF,Corb Your Enthusiasm: S2,35983,19709,665487,0,41.0,13.0,108.0,9.0,0.26548673,0.81779705,60.0,226.0,253.0,58.0,4.644733724824482,23.865406442305044,2.167700888873893,2.191004031661971,1.6993164251185109,2.1129696377236376,0.8241728844745451,1.3824636687762977,10.377627536628856,0.379,87.0,99.0,427.0,382.0,109.0,20.0,2.0,22.0,69.0,60.0,39.0,85.0,16.0,4.0,0.286355,0.380045,0.879926,147.899,4.0293,199.0,12.0,14.643911,57.753025,2.4095008,2.7513492,2.2649279,2.2729576,3.6572216,4.125273,17.48123,382.0,99.0,0.2775555396804165,0.8537283077100156,57.193333333333335,18.205000000000002,160.62833333333333,10.735000000000001,11.01120454124969,47.378044552770184,2.161941973084745,2.411950132802813,1.9040295244638192,2.086493334066774,2.100169647299885,2.727893154807037,14.485877501928933
Eugenio Suarez,3B,3B,Corb Your Enthusiasm: S2,32367,12552,553993,0,38.0,16.0,110.0,1.0,0.23148148,0.81946334,50.0,216.0,245.0,61.0,-2.905919466539437,23.16933364680481,1.9121872479063249,2.913170492097924,1.7557930929339858,-0.2888404326099811,-0.5156334400803663,1.3421419020831977,7.118818862331084,0.374,85.0,90.0,388.0,343.0,81.0,16.0,1.0,17.0,48.0,56.0,36.0,109.0,1.0,0.0,0.235996,0.329877,0.753037,108.409,1.61022,150.0,1.0,-4.1242833,8.33383,1.2974434,1.8904994,1.3997927,-0.47866768,-1.030013,0.5952824,3.6743367,343.0,90.0,0.23415256686907227,0.7801610745508525,43.916666666666664,16.59166666666667,133.66666666666666,1.0,-5.00019570138887,17.307458088187605,1.2867498039372889,2.086415833966387,1.312738983474363,-0.5577776734524187,-0.9536885091251285,0.9965142481406216,5.08083356628415
Jeremy Pena,SS,SS,Corb Your Enthusiasm: S2,41273,21636,665161,0,32.0,9.0,108.0,9.0,0.30837004,0.84731243,70.0,227.0,254.0,60.0,14.399797013960875,30.67099684585506,1.4011599659711886,1.228115417747368,1.6993164251185109,2.1129696377236376,2.5551351151550783,1.7766946030042838,10.773391164720067,0.346,66.0,99.0,428.0,393.0,105.0,19.0,1.0,11.0,54.0,45.0,23.0,76.0,12.0,3.0,0.266126,0.31702,0.72009,105.333,2.33602,159.0,9.0,7.115605,-3.3994987,1.615174,0.85747945,1.558695,1.5225142,1.7770759,-0.24282402,7.0881143,393.0,99.0,0.2840093142120237,0.7739474792310694,44.68666666666667,10.153333333333334,137.41,9.0,13.864614502730854,17.38846820159269,1.3375078735012011,0.7873053004900299,1.3948332256121092,1.6152236681144576,2.6444012043431213,1.0011785802360869,8.648214817269846
Kyle Tucker,OF,OF,Cornwood Fancymen,34967,18345,663656,0,44.0,12.0,118.0,15.0,0.28444444,0.91849649,64.0,225.0,269.0,59.0,8.889666555688093,46.41718129875501,2.423214529841461,1.9502818781833204,1.981699764195885,3.914327190473852,1.5774041228800935,2.6888319253084343,14.535759410883045,0.413,97.0,99.0,428.0,366.0,103.0,20.0,2.0,21.0,66.0,65.0,57.0,62.0,16.0,3.0,0.281514,0.385657,0.896136,150.581,3.82233,190.0,13.0,12.258748,61.266895,2.2506354,2.5791793,2.1060255,2.5231051,3.0615425,4.3762674,16.896755,366.0,99.0,0.2828278078493935,0.9061609452112939,56.13666666666667,16.965,157.72,13.896666666666668,12.47965240664501,64.58396916398587,2.092286959873662,2.1617460849367993,1.8402474886088027,2.9452815725985166,2.380247056087675,3.71856139390634,15.8382420980883
Julio Rodriguez,OF,OF,Cornwood Fancymen,41044,23697,677594,0,38.0,10.0,98.0,5.0,0.24369748,0.72735406,58.0,238.0,263.0,58.0,-0.29448474553882276,3.6071645449053102,1.9121872479063249,1.468837571226019,1.4169330860411373,0.9120646025568282,-0.05225409173992138,0.2089540751248124,5.866722491115201,0.35,71.0,100.0,432.0,391.0,106.0,18.0,2.0,18.0,61.0,56.0,33.0,101.0,18.0,5.0,0.270162,0.346386,0.796665,130.798,3.66148,182.0,13.0,8.657461,26.558643,1.9858599,2.0626693,1.9647789,2.5231051,2.1621444,1.8970726,12.595631,391.0,100.0,0.2585617110671524,0.7662837118431429,50.91833333333333,14.493333333333332,145.18,9.493333333333334,3.8440438384666935,14.303444220589798,1.7482966659242911,1.6630194680210764,1.5652354325783482,1.7492254175110817,0.7331753907753358,0.8235516671873658,9.646125904636177
Kyle Schwarber,DH,DH,Cornwood Fancymen,33712,16478,656941,0,44.0,19.0,125.0,3.0,0.26027397,0.9617537,57.0,219.0,266.0,60.0,3.3592758508697447,54.65271878745489,2.423214529841461,3.635336952533876,2.1793681015500463,0.3116120849734235,0.5960781030265888,3.1658961395088907,12.311505911434288,0.429,98.0,98.0,423.0,351.0,80.0,13.0,1.0,25.0,63.0,64.0,65.0,116.0,3.0,1.0,0.229385,0.365102,0.839433,133.437,1.90684,170.0,2.0,-6.5409336,38.853214,2.0917702,3.267859,1.7529091,-0.22851995,-1.6335557,2.775268,8.02573,351.0,98.0,0.24307911195245985,0.8936618516786881,54.57666666666667,22.34,150.05,2.4433333333333334,-1.9836010173854586,57.549903351910665,1.989452429328593,3.2462999214527843,1.6720383602392983,-0.16573201474472804,-0.3783326913472547,3.3135598755796365,9.925757394804064
Geraldo Perdomo,SS,SS,Cornwood Fancymen,41355,22799,672695,0,29.0,6.0,89.0,11.0,0.27619048,0.79782527,58.0,210.0,256.0,60.0,6.56369051864222,17.981746345504686,1.1456463250036204,0.5059489573114158,1.162788080871501,2.7134221553070423,1.1646772598900714,1.0416378654144627,7.734120643798113,0.33,48.0,92.0,397.0,338.0,84.0,16.0,2.0,6.0,51.0,38.0,45.0,61.0,12.0,3.0,0.249982,0.316334,0.702754,99.1907,2.03346,122.0,9.0,0.6631077,-8.783294,1.4563087,-0.003370412,0.90542966,1.5225142,0.16560674,-0.62738603,3.4191027,338.0,92.0,0.2611642844544393,0.7433177537294596,41.61333333333333,6.0,107.91999999999999,9.853333333333332,4.202653992631202,4.602120343148836,1.1349150590513004,-0.05074374155581054,0.7480943474352262,1.8470104778815906,0.8015731903229188,0.26497700992473494,5.260177004777527
Jorge Soler,OF,"OF,DH",Cornwood Fancymen,32558,14221,624585,0,23.0,8.0,78.0,0.0,0.21153846,0.66255365,44.0,208.0,234.0,57.0,-6.946440979630564,-10.326005341595366,0.6346190430684843,0.9873932642687173,0.8521664078863898,-0.5890666914016834,-1.2325934355323358,-0.5981598202761123,0.05435876801346029,0.297,17.0,83.0,357.0,312.0,73.0,15.0,0.0,18.0,45.0,47.0,38.0,92.0,1.0,0.0,0.235039,0.340206,0.778505,118.344,1.03667,142.0,1.0,-4.0501175,15.526659,1.138578,2.0626693,1.2585461,-0.47866768,-1.0114906,1.1090629,4.0786977,312.0,83.0,0.2258737868031067,0.733283990149437,36.42,14.100000000000001,117.04,0.61,-7.1312623509408075,1.1175768490164852,0.792572754373486,1.5836536678915347,0.9481031154573755,-0.6637114888538039,-1.3601473553844763,0.06434689876251203,2.5092055051957205
Trent Grisham,OF,OF,Cornwood Fancymen,34995,18564,663757,0,29.0,13.0,86.0,-1.0,0.24705882,0.84608854,42.0,170.0,194.0,50.0,0.36108155318655827,22.76140770350379,1.1456463250036204,2.191004031661971,1.0780730791482889,-0.8892929501933858,0.06407119177355193,1.318511766240831,4.908013443634878,0.376,86.0,62.0,267.0,230.0,50.0,10.0,1.0,12.0,34.0,33.0,30.0,69.0,4.0,1.0,0.217328,0.32385,0.7354,108.594,1.28925,98.0,3.0,-7.0591936,1.5317827,0.5560719,1.0296494,0.48168996,0.021627802,-1.7629877,0.10941521,0.43546656,230.0,62.0,0.22694096316317255,0.7711893088615637,32.38333333333333,12.323333333333334,94.12,1.706666666666667,-5.011569759993785,9.542078032230771,0.5264774199929764,1.2251623842555532,0.4454495010859222,-0.36582922161401116,-0.9558578860138391,0.5494057340793091,1.8815900508467989
Wilmer Flores,1B,"1B,DH",Cornwood Fancymen,30627,5827,527038,0,24.0,10.0,89.0,1.0,0.25345622,0.72659395,55.0,217.0,237.0,60.0,1.849145782596959,3.1239414503548457,0.7197902567243403,1.468837571226019,1.162788080871501,-0.2888404326099811,0.3281169392577969,0.18096216248990032,3.5716545779595763,0.304,23.0,76.0,327.0,294.0,70.0,13.0,0.0,11.0,36.0,43.0,26.0,52.0,1.0,0.0,0.237644,0.310237,0.703828,98.6626,0.179388,116.0,1.0,-3.0505853,-7.324163,0.6619821,0.85747945,0.79949474,-0.47866768,-0.7618639,-0.523161,0.5552637,294.0,76.0,0.24388982801413478,0.712820536444191,31.26,10.605,105.335,1.0,-1.4231272531135095,-4.963154127769112,0.452427768724412,0.8784414523336986,0.69140326570965,-0.5577776734524187,-0.27143339768484975,-0.2857643091688559,1.7467380956451644
Jorge Polanco,2B,"2B,DH",Cornwood Fancymen,32525,13152,593871,0,19.0,10.0,75.0,0.0,0.25490196,0.79322638,39.0,153.0,166.0,46.0,1.524973817867898,12.397356453153412,0.2939341884450601,1.468837571226019,0.7674514061631776,-0.5890666914016834,0.2705950749131133,0.7181480410479284,2.929899590393615,0.384,87.0,79.0,343.0,304.0,73.0,13.0,0.0,14.0,40.0,45.0,33.0,85.0,3.0,1.0,0.23854,0.32295,0.735419,114.312,1.3168,128.0,2.0,-2.8819652,2.0303793,0.87380254,1.3739893,1.0113646,-0.22851995,-0.7197521,0.14502972,2.455914,304.0,79.0,0.2430668044218816,0.751412357305511,34.190000000000005,12.893333333333334,113.33666666666667,1.4466666666666668,-1.721732114039885,6.599944647821539,0.6455721113507275,1.3401755352907367,0.8668861047583231,-0.4364517652149347,-0.3283863734564363,0.38000605548092486,2.587050028198292
Andy Pages,OF,OF,Cornwood Fancymen,42468,,,0,28.0,11.0,104.0,4.0,0.28110599,0.8083225,61.0,217.0,234.0,57.0,7.849145872596951,20.859036800354847,1.0604751113477644,1.7095597247046699,1.5863630894875616,0.6118383437651259,1.3927715941830783,1.2083121488784145,7.569320012366616,0.352,,79.0,340.0,305.0,75.0,16.0,1.0,13.0,46.0,42.0,28.0,82.0,3.0,1.0,0.246531,0.330308,0.754576,112.055,1.56001,132.0,2.0,-0.45419002,7.879959,1.1915332,1.2018194,1.0819879,-0.22851995,-0.11343109,0.5628626,3.696252,305.0,79.0,0.26001524291147576,0.7755371517099381,38.98,12.219999999999999,121.08,2.7800000000000002,3.4418780328059375,13.979717285408045,0.9613268557807781,1.204312046933385,1.0367034907654324,-0.07428487495378862,0.6564702115130162,0.8049123903061647,5.206748590471326
Javier Baez,SS,"SS,3B,OF",Cornwood Fancymen,32127,12979,595879,0,24.0,6.0,75.0,0.0,0.27011494,0.73323228,47.0,174.0,182.0,51.0,4.381342469732127,3.6599809977038706,0.7197902567243403,0.5059489573114158,0.7674514061631776,-0.5890666914016834,0.7774360975421489,0.21201360094031305,2.393573627279712,0.293,16.0,69.0,298.0,278.0,65.0,13.0,1.0,8.0,32.0,34.0,14.0,70.0,6.0,2.0,0.23508,0.285121,0.647881,82.5406,0.702076,104.0,4.0,-3.5973585,-22.478836,0.45016167,0.34096953,0.5876249,0.27177554,-0.8984169,-1.6056525,-0.8535378,278.0,69.0,0.2457072677377543,0.6737708683641067,29.573333333333334,7.3933333333333335,95.20333333333333,2.7866666666666666,-0.8404299077370214,-15.548858228031495,0.34124342587012807,0.23039951653019372,0.4692078525505414,-0.07247404050248296,-0.160295395140486,-0.8952590662130262,0.131419334385106
Kerry Carpenter,OF,"OF,DH",Cornwood Fancymen,42714,25961,681481,0,35.0,13.0,105.0,0.0,0.27317073,0.8145207,56.0,205.0,217.0,57.0,5.788363422960253,20.976172677754565,1.6566736069387566,2.191004031661971,1.6146014233952988,-0.5890666914016834,1.027101328369126,1.215097539070986,7.115411238034455,0.359,77.0,69.0,298.0,273.0,72.0,13.0,2.0,15.0,39.0,44.0,19.0,69.0,2.0,1.0,0.265327,0.349444,0.809953,127.789,1.30125,134.0,1.0,4.724774,22.171116,0.82084745,1.5461594,1.1172994,-0.47866768,1.1799814,1.5836735,5.7692933,273.0,69.0,0.2681638198825743,0.8116049684405873,37.553333333333335,14.276666666666667,123.51166666666666,0.6383333333333333,5.305324473621449,22.359506816373443,0.8672816013506727,1.6193010187971766,1.0900318519760162,-0.6560154424357545,1.0118857920436437,1.2873968557590052,6.256139292860521
Ryan Jeffers,C,"C,DH",Cornwood Fancymen,41587,24618,680777,0,17.0,3.0,63.0,0.0,0.24698795,0.71462446,41.0,166.0,188.0,47.0,0.3408210966409921,0.40280788930370237,0.12359176113334798,-0.21621750312453672,0.4285913992703292,-0.5890666914016834,0.06047612693211983,0.02333365969714702,-0.16929124749327612,0.343,63.0,64.0,257.0,227.0,55.0,11.0,1.0,10.0,30.0,33.0,22.0,57.0,1.0,0.0,0.240769,0.329433,0.748615,113.2,1.51943,98.0,1.0,-1.6460096,4.511609,0.34425145,0.68530947,0.48168996,-0.47866768,-0.41108027,0.32226285,0.9437659,227.0,64.0,0.24271760355143485,0.7379646489788128,25.926666666666666,7.806666666666667,87.03333333333333,0.6866666666666666,-1.3649040906409349,1.8756183514693894,0.10085672412588577,0.3138008658188648,0.2900333311973663,-0.642886892663788,-0.2603284801314035,0.10799277408557897,0.5950079791438997
Agustin Ramirez,C,"C,1B,DH",Cornwood Fancymen,5132014,,,0,18.0,7.0,67.0,-1.0,0.23972603,0.7607909,35.0,146.0,159.0,37.0,-0.760482006086839,7.094577058303261,0.20876297478920403,0.7466711107900665,0.5415447349012787,-0.8892929501933858,-0.1349417826037519,0.4109712127530304,0.8837153004364419,0.352,,85.0,358.0,324.0,76.0,17.0,1.0,12.0,41.0,44.0,29.0,75.0,8.0,2.0,0.23508,0.309874,0.707187,93.8,0.605939,131.0,6.0,-4.192605,-6.983204,0.92675763,1.0296494,1.064332,0.772071,-1.0470759,-0.49880645,2.2469277,324.0,85.0,0.23631120069772646,0.7213920312485466,34.905,10.675,114.03999999999999,4.1450000000000005,-4.023819570274041,-2.692434109909849,0.692704604517217,0.892565874390651,0.8823107575553525,0.2964834789510597,-0.7674640586361965,-0.15502270402932053,1.8856764421850847
Vinnie Pasquantino,1B,"1B,DH",Cornwood Fancymen,4109109,27676,686469,0,23.0,8.0,93.0,0.0,0.25751073,0.7113946,60.0,233.0,253.0,60.0,2.930189158779226,-0.18717040284481,0.6346190430684843,0.9873932642687173,1.2757414165024503,-0.5890666914016834,0.5199399134852181,-0.010842316154502011,2.817784629768685,0.337,56.0,90.0,388.0,347.0,90.0,20.0,1.0,15.0,45.0,56.0,34.0,53.0,1.0,0.0,0.258057,0.338038,0.778468,114.137,1.02472,157.0,1.0,3.482789,17.255587,1.138578,1.5461594,1.5233834,-0.47866768,0.86980385,1.2325594,5.8318167,347.0,90.0,0.2578266551395757,0.7501853904083075,35.723333333333336,12.048333333333334,130.01333333333332,0.5783333333333334,3.156401608343007,7.107731936650863,0.7466487866728035,1.169673583317526,1.2326185120736775,-0.6723129524975061,0.602021225534167,0.4092430044173187,4.560899828265374
Shohei Ohtani,DH,"DH,P,SP",Soggy Bottom Boys and devil,39832,19755,660271,0,64.0,23.0,154.0,7.0,0.28813559,1.03882396,68.0,236.0,277.0,59.0,10.195383876188394,77.08374863780526,4.126638802958582,4.5982255664484795,2.9982797848744305,1.512517120140233,1.8090937899526174,4.465269937994717,19.51002500236906,0.464,100.0,94.0,406.0,349.0,100.0,18.0,4.0,25.0,74.0,63.0,52.0,93.0,21.0,5.0,0.28733,0.406565,0.960781,163.961,3.82488,201.0,16.0,13.719141,80.98227,2.6742764,3.267859,2.3002396,3.2735484,3.4262662,5.326,20.268188,349.0,94.0,0.28770191490736907,0.9968108214658513,69.38333333333333,24.076666666666668,179.30166666666668,11.844999999999999,13.601059783777494,93.22097413041178,2.96550154189525,3.5967201067705075,2.313550401093965,2.3879972702091776,2.594133350442582,5.326,19.918169672643195
Jarren Duran,OF,OF,Soggy Bottom Boys and devil,41610,24617,680776,0,34.0,4.0,116.0,8.0,0.27472527,0.74694232,75.0,273.0,295.0,63.0,8.132795344234887,9.485224899156098,1.5715023932829006,0.02450465035411411,1.9252230963804102,1.8127433789319352,1.443103048485844,0.5494554993210128,7.326532066756217,0.329,46.0,89.0,385.0,350.0,95.0,22.0,5.0,10.0,54.0,41.0,28.0,84.0,19.0,4.0,0.269828,0.338541,0.777247,113.171,2.15218,157.0,15.0,7.632747,16.97742,1.615174,0.68530947,1.5233834,3.0234008,1.9062288,1.2126902,9.966187,350.0,89.0,0.27223582020970727,0.7623472049279442,44.166666666666664,7.05,136.84166666666664,11.558333333333334,8.226898157600955,11.425817150540867,1.3032296966528447,0.1611225892984749,1.38236922892067,2.3101313888030317,1.5691182320058839,0.65786607883999,8.668356415569201
